,1,2,3,4,5
comedor_ventanal,10,2,5,10,5
comedor_vist,6,8,6,22,4
comesaã_cucicb,14,14,4,0,1
comod_ambient,14,4,3,2,3
comod_cocin,12,10,2,8,13
comod_departament,16,4,1,9,6
comod_dormitori,18,8,2,21,17
comod_lumin,12,4,8,5,3
compel_preci,6,5,2,5,23
complet_1,16,7,9,9,13
complet_2,21,5,5,9,7
complet_ampli,11,6,7,17,14
complet_balcon,25,16,17,15,21
complet_baã,37,29,22,21,33
complet_cocin,82,63,44,61,77
complet_comedor,10,0,5,5,10
complet_dormitori,30,16,9,13,22
complet_dos,4,4,6,6,7
complet_edifici,11,5,5,10,16
complet_lavader,37,14,16,38,31
complet_living,10,9,12,13,10
complet_lumin,10,7,4,2,10
complet_nuev,2,5,6,5,9
complet_pati,14,1,1,21,7
complet_pis,26,8,5,13,24
complet_placard,5,7,7,1,19
complet_recicl,7,5,3,14,3
complet_toilett,30,28,21,48,67
complet_ventilacion,5,8,2,3,17
compr_propied,9,10,3,9,6
conexion_lavarrop,8,12,5,3,10
consign_aproxim,16,12,2,24,17
const_ampli,11,6,3,13,8
const_living,15,14,7,16,8
const_livingcomedor,12,5,4,9,13
constanci_med,32,21,5,41,30
constru_ubicacion,0,2,16,0,9
construccion_management,0,2,16,0,9
construct_primer,5,15,0,1,22
construirãƒâ_call,9,13,4,0,17
consult_cocher,4,14,0,1,20
consult_visit,3,7,19,0,1
consultor_inmobiliari,9,3,2,7,7
contrafrent_2,10,3,1,8,6
contrafrent_abiert,3,11,4,3,12
contrafrent_ampli,5,3,1,10,8
contrafrent_balcon,29,17,14,16,38
contrafrent_balcã,3,5,3,4,11
contrafrent_buen,4,3,7,4,11
contrafrent_cocin,7,14,8,5,11
contrafrent_living,3,10,2,4,6
contrafrent_lumin,13,31,16,17,24
contrafrent_vist,21,14,17,4,12
corazon_palerm,2,5,14,6,19
corazon_vill,6,12,6,0,7
coronel_diaz,3,6,8,2,13
corr_cocher,3,13,6,1,3
corr_cocin,8,9,0,3,9
corr_frent,10,11,16,19,14
corr_vist,5,2,12,3,11
corrient_av,10,1,1,6,8
corrient_subt,8,11,2,10,20
cresp_1,6,22,22,1,4
cresp_2,3,17,13,0,1
cresp_apto,0,30,30,0,3
cresp_excelent,16,9,5,28,29
cristi_arnal,13,8,10,8,1
cristin_barrionuev,27,22,16,1,2
crã_dit,21,13,12,21,10
cuadr_av,179,145,112,167,154
cuadr_avda,13,6,7,7,16
cuadr_aven,28,20,23,25,28
cuadr_estacion,34,23,22,13,19
cuadr_parqu,26,26,12,20,15
cuadr_plaz,21,14,21,15,21
cuadr_shopping,2,10,3,6,17
cuadr_subt,40,32,25,37,40
cuatr_ambient,12,6,2,9,2
cuatr_cuadr,4,8,5,3,9
cuatr_dormitori,3,4,8,14,7
cubiert_2,9,2,4,4,6
cubiert_balcon,10,6,3,7,15
cubiert_bauler,6,2,43,2,11
cubiert_descubiert,4,12,2,10,14
cubiert_mas,10,8,4,7,4
cubiert_pati,16,1,1,6,3
cubiert_total,11,2,7,10,4
cubiert_u,0,6,31,1,7
cucicb_1104contact,10,9,2,4,0
